('F','1111111111',1)
('E','papelariaprime_1@gmail.com',2)
('E','papelariaessencial_0@gmail.com',1)
('F','1111111111',2)
('E','materialescolarpro_0@gmail.com',1)
('F','1111111111',2)
('E','materialescolarpro_2@gmail.com',3)
('F','1111111111',4)
('F','1111111111',1)
('E','suprimentosdeescritório_1@gmail.com',2)
('E','suprimentosdeescritório_2@gmail.com',3)
('E','suprimentosdeescritório_3@gmail.com',4)
('F','1111111111',1)
('E','lojadepapelaria_1@gmail.com',2)
('F','1111111111',3)
('F','1111111111',4)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',1)
('F','1111111111',2)
('E','papelaçãolegal_0@gmail.com',1)
('E','papelecanetamania_0@gmail.com',1)
('F','1111111111',2)
('E','papelecanetamania_2@gmail.com',3)
('F','1111111111',1)
('E','cantodasletras_1@gmail.com',2)
('E','cantodasletras_2@gmail.com',3)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',3)
('F','1111111111',1)
('E','brincandocompapéis_1@gmail.com',2)
('E','brincandocompapéis_2@gmail.com',3)
('E','brincandocompapéis_3@gmail.com',4)
('F','1111111111',1)
('F','1111111111',2)
('E','papelariacorporativa_0@gmail.com',1)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',1)
('F','1111111111',1)
('E','materialdeescritóriosigma_1@gmail.com',2)
('E','materialdeescritóriosigma_2@gmail.com',3)
('E','soluçõesdepapelaria_0@gmail.com',1)
('E','soluçõesdepapelaria_1@gmail.com',2)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',3)
('E','cantinhodopapel_0@gmail.com',1)
('E','cantinhodopapel_1@gmail.com',2)
('E','cantinhodopapel_2@gmail.com',3)
('E','cantinhodopapel_3@gmail.com',4)
('E','papelariadoamigo_0@gmail.com',1)
('F','1111111111',2)
('E','papelariadoamigo_2@gmail.com',3)
('F','1111111111',4)
('E','laçosdepapel_0@gmail.com',1)
('F','1111111111',2)
('E','laçosdepapel_2@gmail.com',3)
('F','1111111111',4)
('F','1111111111',1)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',3)
('E','informativo_0@gmail.com',1)
('F','1111111111',1)
('E','papelariaemnúmeros_1@gmail.com',2)
('E','materiaisdepapelaria101_0@gmail.com',1)
('E','guiadapapelaria_0@gmail.com',1)
('F','1111111111',2)
('F','1111111111',3)
('E','guiadapapelaria_3@gmail.com',4)
('E','tudosobrepapéis_0@gmail.com',1)
('F','1111111111',2)
('F','1111111111',3)
('E','papeletinta:umguia_0@gmail.com',1)
('F','1111111111',2)
('E','papeletinta:umguia_2@gmail.com',3)
('F','1111111111',4)
('F','1111111111',1)
('F','1111111111',2)
('E','peculiar_2@gmail.com',3)
('E','peculiar_3@gmail.com',4)
('E','papelariamaluca_0@gmail.com',1)
('F','1111111111',2)
('F','1111111111',3)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',3)
('E','descomplicapapelecaneta_3@gmail.com',4)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',1)
('F','1111111111',1)
('F','1111111111',2)
('E','amagiadopapel_2@gmail.com',3)
('E','amagiadopapel_3@gmail.com',4)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',1)
('E','centraldemateriais_0@gmail.com',1)
('E','centraldemateriais_1@gmail.com',2)
('E','centraldemateriais_2@gmail.com',3)
('E','centraldemateriais_3@gmail.com',4)
('F','1111111111',1)
('F','1111111111',1)
('E','descontraído_1@gmail.com',2)
('F','1111111111',3)
('F','1111111111',4)
('F','1111111111',1)
('E','papéiserisadas_0@gmail.com',1)
('F','1111111111',2)
('E','papéiserisadas_2@gmail.com',3)
('E','papéiserisadas_3@gmail.com',4)
('E','escritórioalegre_0@gmail.com',1)
('E','escritórioalegre_1@gmail.com',2)
('F','1111111111',3)
('F','1111111111',4)
('E','aventurasdomaterial_0@gmail.com',1)
('E','brincadeirasdeescritório_0@gmail.com',1)
('E','brincadeirasdeescritório_1@gmail.com',2)
('F','1111111111',3)
('E','brincadeirasdeescritório_3@gmail.com',4)
('F','1111111111',1)
('F','1111111111',2)
('F','1111111111',3)
('F','1111111111',4)
('E','suppliesdeescritório_0@gmail.com',1)
('F','1111111111',2)
('F','1111111111',3)
('F','1111111111',4)
('F','1111111111',1)
('F','1111111111',2)
('E','soluçõesparaescritórios_0@gmail.com',1)
('F','1111111111',2)
('E','soluçõesparaescritórios_2@gmail.com',3)
('F','1111111111',4)
