('2025-02-12','920374',1)
('2025-02-12','710352',2)
('2025-02-12','302732',3)
('2025-02-13','727516',4)
('2025-02-13','484926',5)
('2025-02-13','931312',6)
('2025-02-14','923194',7)
('2025-02-14','994552',8)
('2025-02-14','745201',9)
('2025-02-15','830175',10)
('2025-02-15','433831',11)
('2025-02-15','179510',12)
('2025-02-16','924899',13)
('2025-02-16','186371',14)
('2025-02-16','411961',15)
('2025-02-17','816477',16)
('2025-02-17','788983',17)
('2025-02-17','428256',18)
('2025-02-18','605664',19)
('2025-02-18','633316',20)
('2025-02-18','241547',21)
('2025-02-19','869709',22)
('2025-02-19','815215',23)
('2025-02-19','148364',24)
('2025-02-20','521525',25)
('2025-02-20','715041',26)
('2025-02-20','983547',27)
('2025-02-21','917015',28)
('2025-02-21','808610',29)
('2025-02-21','157236',30)
('2025-02-22','353749',31)
('2025-02-22','642137',32)
('2025-02-22','736542',33)
('2025-02-23','813975',34)
('2025-02-23','947277',35)
('2025-02-23','259721',36)
('2025-02-24','778627',37)
('2025-02-24','428731',38)
('2025-02-24','996963',39)
('2025-02-25','412745',40)
('2025-02-25','793098',41)
('2025-02-25','695456',42)
('2025-02-26','555197',43)
('2025-02-26','498395',44)
('2025-02-26','584275',45)
('2025-02-27','118207',46)
('2025-02-27','736020',47)
('2025-02-27','935539',48)
('2025-02-28','734921',49)
('2025-02-28','394148',50)
