('F','1111111111',1),
('E','papelariaprime_1@gmail.com',2),
('E','papelariaessencial_0@gmail.com',1),
('F','1111111111',2),
('E','papelariaessencial_2@gmail.com',3),
('E','papelariaessencial_3@gmail.com',4),
('F','1111111111',5),
('E','materialescolarpro_0@gmail.com',1),
('F','1111111111',2),
('F','1111111111',3),
('E','materialescolarpro_3@gmail.com',4),
('E','suprimentosdeescritório_0@gmail.com',1),
('E','suprimentosdeescritório_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('E','suprimentosdeescritório_5@gmail.com',6),
('E','suprimentosdeescritório_6@gmail.com',7),
('F','1111111111',8),
('F','1111111111',9),
('E','lojadepapelaria_0@gmail.com',1),
('E','lojadepapelaria_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('E','lojadepapelaria_4@gmail.com',5),
('F','1111111111',1),
('E','descontraído_0@gmail.com',1),
('F','1111111111',2),
('F','1111111111',3),
('F','1111111111',4),
('E','descontraído_4@gmail.com',5),
('F','1111111111',6),
('E','papelaçãolegal_0@gmail.com',1),
('E','papelaçãolegal_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('F','1111111111',1),
('E','cantodasletras_0@gmail.com',1),
('E','cantodasletras_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('E','cantodasletras_4@gmail.com',5),
('E','aventurasnapapelaria_0@gmail.com',1),
('F','1111111111',2),
('F','1111111111',3),
('F','1111111111',4),
('E','brincandocompapéis_0@gmail.com',1),
('E','brincandocompapéis_1@gmail.com',2),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('E','profissional_3@gmail.com',4),
('E','papelariacorporativa_0@gmail.com',1),
('E','papelariacorporativa_1@gmail.com',2),
('E','papelariacorporativa_2@gmail.com',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('E','papelariacorporativa_6@gmail.com',7),
('F','1111111111',8),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('E','fornecimentopremium_3@gmail.com',4),
('E','supremesupplies_0@gmail.com',1),
('E','supremesupplies_1@gmail.com',2),
('F','1111111111',3),
('E','supremesupplies_3@gmail.com',4),
('F','1111111111',5),
('F','1111111111',6),
('F','1111111111',1),
('E','materialdeescritóriosigma_1@gmail.com',2),
('E','materialdeescritóriosigma_2@gmail.com',3),
('F','1111111111',4),
('E','materialdeescritóriosigma_4@gmail.com',5),
('F','1111111111',6),
('E','materialdeescritóriosigma_6@gmail.com',7),
('E','soluçõesdepapelaria_0@gmail.com',1),
('F','1111111111',2),
('E','soluçõesdepapelaria_2@gmail.com',3),
('E','simpático_0@gmail.com',1),
('F','1111111111',2),
('E','simpático_2@gmail.com',3),
('E','simpático_3@gmail.com',4),
('F','1111111111',1),
('E','papelariadoamigo_0@gmail.com',1),
('E','papelariadoamigo_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('F','1111111111',1),
('E','laçosdepapel_1@gmail.com',2),
('E','laçosdepapel_2@gmail.com',3),
('E','laçosdepapel_3@gmail.com',4),
('E','laçosdepapel_4@gmail.com',5),
('F','1111111111',6),
('E','laçosdepapel_6@gmail.com',7),
('E','papelecarinho_0@gmail.com',1),
('F','1111111111',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('E','papelariaaconchego_0@gmail.com',1),
('E','papelariaaconchego_1@gmail.com',2),
('F','1111111111',1),
('E','informativo_1@gmail.com',2),
('E','informativo_2@gmail.com',3),
('E','informativo_3@gmail.com',4),
('F','1111111111',5),
('F','1111111111',1),
('E','papelariaemnúmeros_1@gmail.com',2),
('E','papelariaemnúmeros_2@gmail.com',3),
('E','papelariaemnúmeros_3@gmail.com',4),
('F','1111111111',5),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('E','materiaisdepapelaria101_3@gmail.com',4),
('E','materiaisdepapelaria101_4@gmail.com',5),
('E','materiaisdepapelaria101_5@gmail.com',6),
('F','1111111111',7),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('F','1111111111',4),
('E','guiadapapelaria_4@gmail.com',5),
('E','tudosobrepapéis_0@gmail.com',1),
('E','tudosobrepapéis_1@gmail.com',2),
('E','tudosobrepapéis_2@gmail.com',3),
('F','1111111111',4),
('F','1111111111',5),
('E','tudosobrepapéis_5@gmail.com',6),
('F','1111111111',7),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('F','1111111111',4),
('E','peculiar_0@gmail.com',1),
('F','1111111111',2),
('E','peculiar_2@gmail.com',3),
('E','peculiar_3@gmail.com',4),
('F','1111111111',5),
('E','peculiar_5@gmail.com',6),
('E','papelariamaluca_0@gmail.com',1),
('F','1111111111',2),
('F','1111111111',3),
('E','papelariamaluca_3@gmail.com',4),
('E','papelariamaluca_4@gmail.com',5),
('F','1111111111',6),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('E','descomplicapapelecaneta_5@gmail.com',6),
('F','1111111111',1),
('E','papéiscomestilo_1@gmail.com',2),
('F','1111111111',3),
('E','papelariadodoido_0@gmail.com',1),
('E','papelariadodoido_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('E','papelariadodoido_6@gmail.com',7),
('E','papelariadodoido_7@gmail.com',8),
('F','1111111111',1),
('E','amagiadopapel_1@gmail.com',2),
('E','amagiadopapel_2@gmail.com',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('E','materialescritóriobr_0@gmail.com',1),
('E','materialescritóriobr_1@gmail.com',2),
('E','materialescritóriobr_2@gmail.com',3),
('F','1111111111',4),
('F','1111111111',5),
('E','pontodoescritório_0@gmail.com',1),
('F','1111111111',2),
('E','pontodoescritório_2@gmail.com',3),
('F','1111111111',4),
('E','pontodoescritório_4@gmail.com',5),
('E','pontodoescritório_5@gmail.com',6),
('E','centraldemateriais_0@gmail.com',1),
('E','centraldemateriais_1@gmail.com',2),
('E','centraldemateriais_2@gmail.com',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('E','centraldemateriais_6@gmail.com',7),
('E','centraldemateriais_7@gmail.com',8),
('F','1111111111',9),
('E','escritórioecia_0@gmail.com',1),
('E','descontraído_0@gmail.com',1),
('F','1111111111',2),
('E','descontraído_2@gmail.com',3),
('F','1111111111',4),
('E','descontraído_4@gmail.com',5),
('F','1111111111',6),
('E','descontraído_6@gmail.com',7),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('E','papéiserisadas_0@gmail.com',1),
('E','papéiserisadas_1@gmail.com',2),
('F','1111111111',3),
('F','1111111111',4),
('F','1111111111',5),
('F','1111111111',6),
('F','1111111111',7),
('E','papéiserisadas_7@gmail.com',8),
('F','1111111111',9),
('E','escritórioalegre_0@gmail.com',1),
('F','1111111111',1),
('F','1111111111',2),
('F','1111111111',3),
('E','aventurasdomaterial_3@gmail.com',4),
('F','1111111111',5),
('F','1111111111',6),
('F','1111111111',7),
('E','aventurasdomaterial_7@gmail.com',8),
('E','aventurasdomaterial_8@gmail.com',9),
('E','brincadeirasdeescritório_0@gmail.com',1),
('F','1111111111',2),
('F','1111111111',3),
('E','brincadeirasdeescritório_3@gmail.com',4),
('E','profissional_0@gmail.com',1),
('F','1111111111',2),
('E','profissional_2@gmail.com',3),
('E','suppliesdeescritório_0@gmail.com',1),
('E','suppliesdeescritório_1@gmail.com',2),
('E','suppliesdeescritório_2@gmail.com',3),
('F','1111111111',1),
('F','1111111111',2),
('E','excelênciaemmateriais_2@gmail.com',3),
('E','excelênciaemmateriais_3@gmail.com',4),
('F','1111111111',5),
('F','1111111111',6),
('E','soluçõesparaescritórios_0@gmail.com',1),
('E','soluçõesparaescritórios_1@gmail.com',2),
('E','soluçõesparaescritórios_2@gmail.com',3),
('E','soluçõesparaescritórios_3@gmail.com',4),
('E','soluçõesparaescritórios_4@gmail.com',5),
('E','soluçõesparaescritórios_5@gmail.com',6),
('F','1111111111',7),
('E','soluçõesparaescritórios_7@gmail.com',8);
