(526,1,8,7.0)
(229,1,1,4.0)
(600,1,16,3.7)
(374,1,18,10.5)
(621,1,13,5.9)
(92,1,9,0.7)
(329,2,19,5.5)
(363,2,20,7.5)
(541,2,2,42.7)
(391,2,5,14.8)
(627,2,20,6.5)
(519,2,18,7.5)
(118,2,17,15.8)
(181,2,14,12.5)
(385,2,18,35.9)
(637,2,4,5.7)
(126,2,18,19.8)
(193,2,19,17.9)
(59,2,7,8.0)
(392,2,2,7.0)
(206,2,6,5.6)
(27,3,1,12.8)
(519,3,8,7.5)
(117,3,15,11.9)
(471,3,17,7.5)
(353,3,7,15.5)
(26,3,12,5.6)
(28,3,10,15.2)
(336,3,10,17.7)
(396,3,18,7.5)
(428,3,8,2.8)
(574,3,17,6.2)
(517,3,3,4.0)
(355,3,5,13.6)
(100,3,4,0.5)
(76,3,20,4.0)
(411,4,16,15.0)
(62,5,3,8.5)
(211,5,16,37.6)
(508,5,19,55.6)
(89,5,4,1.5)
(431,5,17,8.0)
(9,5,12,14.0)
(415,5,19,3.5)
(248,5,11,5.0)
(492,5,3,2.0)
(634,5,17,5.0)
(597,5,1,6.0)
(166,5,6,26.8)
(64,5,17,11.2)
(559,5,18,9.0)
(633,6,16,5.0)
(373,6,2,3.0)
(155,6,3,4.0)
(651,6,13,5.5)
(319,6,2,6.5)
(181,6,16,12.5)
(113,6,3,19.6)
(537,6,20,29.0)
(363,6,7,7.5)
(560,6,11,9.0)
(454,6,11,4.0)
(506,6,17,23.5)
(508,6,20,55.6)
(488,6,20,2.0)
(604,6,4,9.0)
(414,6,17,2.0)
(152,6,4,4.0)
(130,6,3,10.4)
(232,6,9,4.0)
(560,7,1,9.0)
(10,7,10,14.0)
(565,7,14,18.5)
(93,7,11,1.0)
(559,7,5,9.0)
(218,7,6,9.0)
(23,7,16,11.7)
(617,7,3,4.0)
(652,7,19,4.0)
(218,7,19,9.0)
(457,7,20,5.0)
(249,7,1,6.5)
(218,7,2,9.0)
(582,7,14,30.5)
(424,7,16,2.2)
(125,7,9,51.8)
(548,7,8,7.5)
(42,7,13,4.5)
(540,7,13,33.8)
(485,7,16,3.5)
(618,8,17,4.5)
(343,8,6,37.8)
(600,8,14,3.7)
(335,8,12,6.9)
(441,8,16,0.6)
(203,8,16,0.1)
(215,8,5,7.5)
(284,8,8,2.0)
(414,8,12,2.0)
(615,8,18,8.5)
(507,8,13,44.6)
(433,8,13,8.9)
(185,8,1,7.0)
(153,8,16,4.5)
(259,8,5,3.0)
(318,8,1,13.8)
(497,9,9,37.9)
(325,9,3,15.5)
(239,9,11,5.9)
(57,9,10,7.8)
(523,9,18,9.8)
(521,9,5,5.5)
(76,9,4,4.0)
(143,10,8,5.0)
(73,10,20,4.0)
(514,10,5,33.5)
(305,10,17,2.0)
(35,10,17,7.5)
(308,10,11,8.9)
(60,10,1,8.0)
(428,10,2,2.8)
(363,10,12,7.5)
(112,10,4,12.8)
(426,10,6,2.6)
(405,10,14,69.7)
(574,10,9,6.2)
(432,11,14,4.0)
(294,11,2,2.0)
(408,12,5,3.7)
(357,12,13,7.7)
(123,12,13,34.9)
(566,12,13,8.5)
(405,12,15,69.7)
(72,12,10,4.0)
(135,12,8,14.9)
(340,12,14,20.0)
(449,12,8,15.8)
(73,12,17,4.0)
(180,12,13,8.5)
(154,12,3,7.0)
(170,12,11,14.8)
(567,12,11,10.8)
(583,13,15,12.8)
(112,13,11,12.8)
(398,13,7,1.8)
(366,13,5,3.0)
(467,13,14,6.0)
(65,13,11,4.5)
(167,13,11,13.6)
(281,13,11,2.0)
(614,13,6,8.5)
(181,13,7,12.5)
(35,13,5,7.5)
(515,13,14,22.5)
(471,13,5,7.5)
(208,13,18,13.8)
(308,13,9,8.9)
(600,13,12,3.7)
(485,13,17,3.5)
(504,14,1,21.9)
(37,14,5,7.0)
(603,14,13,8.0)
(246,14,9,16.5)
(180,14,4,8.5)
(387,14,2,9.7)
(143,14,10,5.0)
(467,14,9,6.0)
(295,14,6,2.0)
(546,15,3,4.0)
(447,15,18,6.5)
(143,15,17,5.0)
(275,15,4,2.0)
(353,15,4,15.5)
(121,15,20,11.9)
(359,15,16,7.5)
(138,15,15,0.5)
(44,15,11,5.5)
(262,15,6,8.5)
(368,15,3,3.0)
(346,15,11,17.0)
(350,15,18,17.0)
(290,15,8,2.0)
(648,15,11,16.6)
(512,15,16,17.0)
(211,15,11,37.6)
(217,15,18,9.0)
(170,15,11,14.8)
(61,16,20,8.0)
(380,16,16,7.5)
(99,17,19,0.5)
(588,17,10,4.5)
(199,17,15,9.5)
(419,17,4,0.5)
(156,17,6,5.0)
(13,17,4,12.2)
(387,18,17,9.7)
(524,18,15,16.5)
(424,18,19,2.2)
(32,18,16,11.9)
(521,18,7,5.5)
(407,18,2,7.8)
(478,18,12,7.5)
(294,18,17,2.0)
(288,18,9,2.0)
(249,18,2,6.5)
(45,18,1,10.9)
(554,18,5,20.6)
(116,18,8,26.0)
(562,18,17,4.5)
(139,18,7,0.5)
(481,18,11,4.0)
(438,18,11,1.3)
(309,18,20,8.8)
(395,19,8,6.5)
(506,19,4,23.5)
(176,19,6,10.9)
(342,19,20,37.8)
(19,19,3,13.5)
(588,20,14,4.5)
(517,20,18,4.0)
(110,20,7,14.5)
(522,20,17,9.8)
(417,20,12,1.7)
(356,20,11,13.6)
(88,20,16,1.5)
(291,20,19,12.0)
(110,20,6,14.5)
(143,20,3,5.0)
(502,20,5,33.9)
(270,20,15,8.5)
(2,20,6,12.5)
(522,20,2,9.8)
(416,20,6,1.7)
(372,20,1,3.0)
(156,20,7,5.0)
(268,20,1,8.5)
(384,21,11,35.9)
(365,21,10,3.0)
(396,21,1,7.5)
(46,21,5,14.8)
(341,21,17,37.8)
(228,21,4,2.0)
(242,21,15,9.4)
(18,21,4,32.5)
(101,21,10,0.5)
(608,21,9,21.5)
(327,21,19,12.5)
(176,21,14,10.9)
(469,21,9,12.0)
(99,21,7,0.5)
(287,21,19,2.0)
(365,22,19,3.0)
(215,22,15,7.5)
(181,22,11,12.5)
(621,22,14,5.9)
(304,22,3,2.0)
(408,22,3,3.7)
(555,22,1,32.0)
(295,22,6,2.0)
(539,22,13,25.3)
(317,22,19,11.0)
(222,22,7,2.5)
(144,22,14,5.0)
(400,22,5,5.0)
(73,23,20,4.0)
(172,23,5,7.0)
(123,24,18,34.9)
(385,24,12,35.9)
(607,24,2,12.0)
(642,25,5,8.9)
(424,25,14,2.2)
(439,25,1,0.3)
(4,25,4,8.9)
(7,25,14,27.7)
(211,25,14,37.6)
(542,25,12,4.5)
(336,25,12,17.7)
(363,25,13,7.5)
(179,25,13,8.5)
(61,25,19,8.0)
(441,25,13,0.6)
(584,25,3,9.5)
(469,25,13,12.0)
(260,25,7,9.8)
(387,25,1,9.7)
(286,25,20,2.0)
(312,26,15,8.8)
(48,26,19,25.3)
(90,26,2,2.0)
(380,26,8,7.5)
(83,26,3,3.8)
(631,26,5,4.0)
(36,26,19,10.5)
(367,26,16,3.0)
(153,26,13,4.5)
(519,26,20,7.5)
(125,26,18,51.8)
(271,27,20,6.5)
(384,27,4,35.9)
(330,27,2,10.5)
(213,27,11,52.5)
(616,27,6,3.5)
(550,28,15,15.0)
(416,28,17,1.7)
(337,28,5,21.5)
(644,28,17,8.9)
(349,28,9,13.6)
(465,28,14,9.0)
(89,28,17,1.5)
(14,28,15,21.9)
(550,28,3,15.0)
(140,28,10,8.9)
(141,28,17,8.9)
(204,28,19,0.2)
(630,28,3,3.9)
(607,28,7,12.0)
(45,28,13,10.9)
(433,28,6,8.9)
(232,28,7,4.0)
(175,28,11,8.0)
(112,28,7,12.8)
(254,29,2,3.5)
